contact_phone,credit,discount,first_name,last_name,total_balance,product
5215513023544,600670615415.00,60,Antonio,Bonilla,13549.77,AMEX CARD
5215536767108,600670615415.00,60,Israel,Sanchez,13549.77,AMEX CARD
5243122222111,234324324323.00,89,Juan,Gonzalez,214.00,AMEX
5217151136840,600670615415.00,60,Enrique,Ramirez,13549.77,AMEX CARD
5215528921944,600670615415.00,60,Maria,Lopez,13549.77,AMEX CARD
5215512345678,500560505405.00,50,Carlos,Martinez,10000.00,VISA CARD
5215587654321,400450404404.00,45,Laura,Garcia,8500.50,MASTERCARD
5215598765432,300340303303.00,40,Pedro,Rodriguez,7200.25,AMEX GOLD
5215523456789,200230202202.00,35,Sofia,Hernandez,5500.00,VISA PLATINUM
5215534567890,100120101101.00,30,Diego,Fernandez,3800.75,MASTERCARD BLACK
